filename,text,genre
Three_Reasons_La_haine_M2Wl4li8TFo_1.txt,burning eluting tonight said gonna burn elute burning eluting tonight one thing burning pollution tonight oh yeah yeah burning illusion tonight oh yeah yeah made food let grow one two three four sound want hear company company sound want hear oh yeah yeah company oh yeah yeah burning eluting tonight burning eluting tonight gonna kill knife hurt think want robber smoke police station lot balls beat fucking system every day like asshole thanks watching,unknown
IL_POSTINO_TRAILER_0or7hSz7gc.txt,booom mario humble postman lived simple life small italian island years loved beatrice know tell day pablo neruda famous poet world renowned romantic moved great man teach every moment meaning mario every word place way every woman heart mario miramax films proud present story one man gave another courage change life passion live dreams movie stole italy heart coming america postman postman,unknown
A_Midwinters_Tale_In_the_Bleak_Midwinter_Trailer_vBS92ui_h74.txt,production wants extremely innovative way communicate play queen violet cast thy nighted colour let thine eye look like friend rubbing low calorie mayonnaise face hopeless rather fun way sometimes absolutely hopeless hello kids stop watching mighty morphin power rangers come watch 400 year old play depressed aristocrat good hamlet cast thy coloured nighty let thine eye look like friend denmark think darling mean speechless done would like program yes please sorry marvellous,unknown
Home_For_The_Holidays_Trailer_1995_ThH8WocPRM0.txt,overwhelming good experience movie really saying film really overwhelmingly best experience ever starring academy award winning holly hunter piano copycat broadcast news really amazing group actors happen get along kind brilliantly robert downey jr chaplin heart soul undoubtedly one finest directors ever worked fast go tommy like wind academy award winning bancroft graduate agnes god watched work high know know always knew little girl little girl became woman said still got look paint good vincent van gogh man japan giving 63 million dollars steve gutenberg three men baby cocoon first read script laughed reminded reminded much family cynthia stevenson player would paid experience instead paid dylan mcdermott steel magnolias cowboy way mess know pretty much families kind mess geraldine chaplin dr givago nashville excited read anything original different exciting way put flashed quite questions charles durning sting dick tracy prefer ensemble things anyway happen often wait goddamn christmas premier cast see thing go uncle brother directed one hollywood talented artists never stops pace keeps accelerating explodes film love hate family like joe family met street gave phone number brought away home holidays coming soon hologram video,unknown
Copycat_1995_trailer_lsmXhM4yfU0.txt,turns killer suffering death another human determination builds take another life plans obsessive detail props bring knots tie let ask guys something turns criminal psychiatrist serial killer strangled three women gonna homicide detective would work us kidding right want discussing case shape way form boston strangler telling guy copycatting serial killer dead 20 years looking intelligent white male 20 30 years old socially functional everything different different guy switched desalvo bianchi bono hillside strangler one man copying notorious killers history one time sending letters like daring us nail wants famous caught death life duh know mr cullen safe san quentin last night come book shows mattress together two women must stop man killed five women city apartment kills know change locks tighten security pray sigourney weaver holly hunter harry connick jr deadly game cat kitty kitty kitty mouse copycat copycat,unknown
Hackers_Trailer_Ql1uLyuWra8.txt,hidden beneath world know world inhabit hey yeah taking tv network finish honey get sleep hackers hackers penetrate ravage private publicly owned computer systems something sure sweet machine going waste challenging win wear dress date win crack code inside system oh mr gill according records dead time unless five million dollars transferred following account capsize five oil tankers hacked wrong guy commit perfect computer crime gonna cause worldwide disaster take blame friend allies play well others wow fried okay let nail good enough beat yeah maybe ones prevent catastrophe know stop guy trace like nuts come unlike world ever seen never send boy woman job hackers world unite cops building need time end friend artists welcomes new world hackers,unknown
Batman_Forever_1995_Official_Theatrical_Teaser_on_HD_b_KllgySsPo.txt,take sandwich sir get drive bruce wayne flesh gonna need handbag yes invention beams tv signal directly human brain mind manipulation tampering people brain waves raises many questions ahhh sent riddle riddler help solve greatest riddle batman look night place midnight chair alfred saw signal sir left wayne enterprises en route batcave ready sir let start party bang entrance good bad difference showmanship sent signal called bat signal beeper beeper called bat signal beeper could give try bring wine need skin tight vinyl whip like jacket keeps safe jogging night need name batboy nightwing good sidekick name help train let partner blast want close let near part whether like thanks watching,unknown
Casino_Official_Trailer_1_1995_HD_EJXDMwGWhoA.txt,hell handicapper tell good ran paradise earth one biggest casinos las vegas run ten years know run way nobody gonna interfere running casino guarantee mickey guy make lot money us keep good eye right look place made money think moving gotta tell joke gotta keep low profile right bat like guys like us like money lot yes lot well yeah want settle want family got wrong girl set rest life know know two three months ran show paradise lasted frankie found guy head desert good got problem listen maybe get lost take vacation make clearer sam would get try everything even though knew deep inside would bury buried buried able trust life trust trust want go fbi want go police touching anymore want get town exist loose cannon stop realize get us killed want get rid go ahead get rid want go police want go,unknown
How_To_Make_An_American_Quilt_Trailer_1995_K5_2VgJUSBA.txt,decided go away summer makes sam nervous thinks leaving last night proposed come pick september maybe maybe even know supposed one person rest lives long remember grandmother friends part quilting bee something making state fair wedding quilt honey comes bride love many people want lifetime name mean monogamy really unnatural state brought talking fiancé getting cold feet see look mother gets going dump one boyfriends look never lied give people excuse foolish things young supposed foolish things comes time every life engaged married want friendship thing planning future forbidden means looking past young lovers seek perfection old lovers learn art sewing shreds together seeing beauty multiplicity patches universal pictures amblin entertainment proudly present story young woman whose eyes opened sometimes wonder exactly got women seen right let ask choose marrying lover marrying friend would choose winona ryder ellen burston anne bancroft alfred woodard kate nelligan film jocelyn morehouse make american quilt thanks watching,unknown
A_Pyromaniacs_Love_Story_IiZ50_XsjS4.txt,pray never happen happens every man choose two things love love hattie said ask money right said wait forever drives crazy know saving every penny got pace gonna least 110 time enough money hattie gonna france french guy know tell truth like sergio know richie rich got good heart got problem getting together got idea seeing world tell hattie watch national geographic save money would give worked saved thought hattie every day love grew sometimes would forget breathe got breathe,unknown
